year,project_id,camera_trap_array,deployment_id,sequence_id,start_time,end_time,class,order,family,genus,species,common_name,age,sex,group_size,seq_length,project_deployment_id
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068953,2023-11-26T05:42:31Z,2023-11-26T05:42:50Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,19,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc32 10/04/2023,7572513,2023-10-06T14:40:36Z,2023-10-06T14:40:39Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc32 10/04/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc10 09/29/2023,7383801,2023-10-06T06:13:34Z,2023-10-06T06:13:38Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc10 09/29/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc12 10/05/2023,7390064,2023-10-21T17:16:06Z,2023-10-21T17:16:10Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc12 10/05/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068886,2023-11-24T05:05:21Z,2023-11-24T05:05:23Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,2,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068813,2023-11-22T17:37:59Z,2023-11-22T17:38:08Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,9,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068788,2023-11-19T18:34:57Z,2023-11-19T18:35:00Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc12 10/05/2023,7390160,2023-10-23T03:19:49Z,2023-10-23T03:19:52Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc12 10/05/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc42 09/28/2023,7627391,2023-10-12T03:26:38Z,2023-10-12T03:26:42Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc42 09/28/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc01 09/13/2023,8068933,2023-11-25T16:50:19Z,2023-11-25T16:51:03Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,44,2006496_NY_Anthropogenic_NYC_23_loc01 09/13/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8070294,2023-11-27T01:55:17Z,2023-11-27T01:55:21Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,4,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8069311,2023-09-26T21:26:26Z,2023-09-26T21:26:29Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc02 09/20/2023,8069738,2023-10-11T03:14:16Z,2023-10-11T03:15:20Z,Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,NA,NA,1,64,2006496_NY_Anthropogenic_NYC_23_loc02 09/20/2023
2023,2006496,NYC,NY_Anthropogenic_NYC_23_loc14 10/05/2023,7570624,2023-10-20T02:03:15Z,2023-10-20T02:03:18Z,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,NA,NA,1,3,2006496_NY_Anthropogenic_NYC_23_loc14 10/05/2023
